Date,RouteID,StopID,ScheduledArrival,ActualArrival,DelayMinutes,PassengerCount,Capacity,LoadFactor,DistanceKM,Weather,AnomalyFlag
2024-02-26,R039,S0031,2024-02-26 09:29:00,2024-02-26 09:36:37.350096300,7.62,32,80,0.4,7.49,Rain,0
2024-01-25,R029,S0332,2024-01-25 20:17:00,2024-01-25 20:19:44.901191100,2.75,5,60,0.08,3.09,Rain,0
2024-02-17,R015,S0411,2024-02-17 19:10:00,2024-02-17 19:25:05.353291440,15.09,28,80,0.35,9.07,Clear,0
2024-03-10,R043,S0052,2024-03-10 04:00:00,2024-03-10 04:00:24.894476700,0.41,47,70,0.67,6.58,Clear,0
2024-02-11,R008,S0384,2024-02-11 00:27:00,2024-02-11 00:31:12.132600360,4.2,68,60,1.13,2.37,Clear,0
2024-01-29,R021,S0243,2024-01-29 12:26:00,2024-01-29 12:42:42.017539260,16.7,48,50,0.96,2.93,Clear,0
2024-03-25,R039,S0417,2024-03-25 04:49:00,2024-03-25 04:49:41.627266260,0.69,58,50,1.16,6.09,Fog,0
2024-03-11,R019,S0475,2024-03-11 11:08:00,2024-03-11 11:07:35.429091960,-0.41,37,80,0.46,5.78,Clear,0
2024-04-10,R023,S0392,2024-04-10 19:38:00,2024-04-10 19:50:26.170036440,12.44,47,50,0.94,9.69,Clear,0
2024-02-14,R011,S0389,2024-02-14 14:12:00,2024-02-14 14:07:01.116987360,-4.98,53,70,0.76,11.25,Clear,0
2024-02-10,R011,S0573,2024-02-10 03:17:00,2024-02-10 03:34:00.889917000,17.01,77,60,1.28,7.01,Clear,0
2024-03-13,R024,S0469,2024-03-13 14:47:00,2024-03-13 14:42:00.000000000,-5.0,31,70,0.44,6.76,Clear,0
2024-03-03,R036,S0408,2024-03-03 15:30:00,2024-03-03 15:35:44.805507060,5.75,34,70,0.49,8.75,Clear,0
2024-04-28,R040,S0519,2024-04-28 00:40:00,2024-04-28 00:38:29.375680980,14.64,18,80,0.22,9.96,Rain,1
2024-02-16,R024,S0189,2024-02-16 12:30:00,2024-02-16 12:38:23.750179320,8.4,43,80,0.54,6.8,Rain,0
2024-04-09,R003,S0595,2024-04-09 06:28:00,2024-04-09 06:47:38.523543780,19.64,26,50,0.52,4.17,Clear,0
2024-01-01,R022,S0351,2024-01-01 07:07:00,2024-01-01 07:02:00.000000000,-5.0,32,80,0.4,4.35,Clear,0
2024-04-04,R002,S0283,2024-04-04 17:46:00,2024-04-04 17:41:00.000000000,-5.0,22,80,0.28,8.5,Rain,0
2024-01-20,R024,S0157,2024-01-20 02:44:00,2024-01-20 03:00:30.169272840,16.5,57,80,0.71,5.33,Clear,0
2024-04-01,R044,S0599,2024-04-01 11:42:00,2024-04-01 11:44:41.783699100,2.7,57,50,1.14,8.96,Clear,0
2024-04-19,R030,S0148,2024-04-19 15:32:00,2024-04-19 15:36:10.384249320,4.17,25,70,0.36,7.06,Storm,0
2024-01-19,R038,S0070,2024-01-19 12:49:00,2024-01-19 12:51:20.438051820,2.34,48,50,0.96,10.83,Clear,0
2024-03-05,R002,S0370,2024-03-05 14:08:00,2024-03-05 14:09:22.439228880,1.37,78,70,1.11,5.58,Clear,0
2024-04-02,R021,S0588,2024-04-02 04:30:00,2024-04-02 04:25:52.578029040,-4.12,49,70,0.7,2.28,Clear,0
2024-03-14,R033,S0515,2024-03-14 01:01:00,2024-03-14 01:03:34.472025660,2.57,6,60,0.1,6.5,Clear,0
2024-02-05,R012,S0234,2024-02-05 20:32:00,2024-02-05 20:28:34.267939920,-3.43,65,50,1.3,1.12,Rain,0
2024-01-23,R022,S0467,2024-01-23 14:09:00,2024-01-23 14:24:00.730575840,15.01,10,70,0.14,5.4,Clear,0
2024-03-22,R044,S0557,2024-03-22 01:23:00,2024-03-22 01:22:28.184436061,-0.53,33,70,0.47,11.06,Rain,0
2024-01-29,R025,S0287,2024-01-29 12:48:00,2024-01-29 13:06:06.539157600,18.11,21,80,0.26,10.97,Clear,0
2024-04-01,R049,S0294,2024-04-01 06:26:00,2024-04-01 06:37:41.409573240,11.69,17,50,0.34,9.74,Clear,0
2024-02-13,R027,S0481,2024-02-13 00:34:00,2024-02-13 00:29:00.000000000,-5.0,15,60,0.25,2.45,Rain,0
2024-01-07,R042,S0134,2024-01-07 13:45:00,2024-01-07 13:40:00.000000000,-5.0,79,50,1.58,0.97,Clear,0
